Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.000965351576364903,0.00188350285132326,0.0592475503813128,0,0,0,0.3661552578116,0.000260139647086525,-2.84451028459697E-06,-3.95149321502307E-05,0.000497625273932272,-1.3877897393546E-06,0.000339281330458025,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/BASE.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/BASE.STL,,BASE-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
TMCPF,-8.94485140141149E-08,-0.0065177263275409,0.00979641891039251,0,0,0,0.00403111186793774,3.51226821493149E-07,5.13601613296322E-13,-3.5583942969638E-12,5.76592866072564E-07,-3.46269775245642E-08,3.57954487924098E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TMCPF.STL,,TMCPF-1,TMCPF,TF,TF,revolute,0.044,-0.0075,0.043,0,1.5708,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
TMCPS,0.00103849116596672,-1.64329802182506E-07,-0.00331551855469359,0,0,0,0.0106268686560954,7.55169051256462E-07,6.05082919324433E-13,-2.40107133877211E-08,5.98746618835006E-07,6.62863494730572E-12,6.08350308334754E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TMCPS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TMCPS.STL,,TMCPS-1,TMCPS,TS,TS,revolute,0,0,0.03085,0,0,0,TMCPF,0,0,-1,0,0,0,0,,,,,,,,
TPIP,0.00086418171621293,0.000343885439703803,0.0141246010096245,0,0,0,0.0273995580848552,5.51734130747602E-06,6.92817305609024E-09,-1.54059086928056E-07,4.42571415651149E-06,1.25541649165614E-07,1.96525275887112E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TPIP.STL,,"TPIP-1/t3_tactile-镜像-1;TPIP-1/t4_tactile_mirrored-1;TPIP-1/P1-从动销-1;TPIP_XL,XC-330-1",TPIP,TP,TP,revolute,0,0,0.0185000007491474,0,0,0,TMCPS,-1,0,0,0,0,0,0,,,,,,,,
TDIP,0.000545562549314427,-0.00117805590778434,0.0178954646012124,0,0,0,0.047829964723121,7.04561753274535E-06,3.17168411405168E-09,6.30981997122447E-09,6.19332040331521E-06,-2.60452929393567E-07,2.18835005443905E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TDIP.STL,,"TDIP-1/拇指带摄像头右-倾斜扩大改-1;TDIP-1/拇指带摄像头左-1;TDIP-1/XL,XC-330-1;TDIP_XL,XC-330-2",TDIP,TD,TD,revolute,0,0,0.0464999999999998,0.00917956810513729,0,0,TPIP,-1,0,0,0,0,0,0,,,,,,,,
TDIP_TACTILE_DOWN,-1.30104260698261E-16,2.44249065417534E-15,-0.00249999999999141,0,0,0,0.00146,4.95483333333334E-08,2.92378642456963E-23,-5.76821185494848E-24,2.929E-08,4.65270352290637E-24,7.27550000000001E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TDIP_TACTILE_DOWN.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TDIP_TACTILE_DOWN.STL,,TDIP-1/tactile-2,TDIP_TACTILE_DOWN,Axis_TD_TD,TD_TD,fixed,9.99999999988753E-05,-0.015137243078741,0.00765505587662729,-1.56161675868976,0,-3.14159265358979,TDIP,0,0,0,,,,,,,,,,,,
TDIP_TACTILE_UP,-1.47451495458029E-16,2.44249065417534E-15,-0.00249999999999141,0,0,0,0.00146,4.95483333333336E-08,3.83883135653823E-23,-9.88393007284593E-25,2.92900000000001E-08,-3.69629091429135E-25,7.27550000000003E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TDIP_TACTILE_UP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TDIP_TACTILE_UP.STL,,TDIP-1/tactile-1,TDIP_TACTILE_UP,Axis_TD_UP,TD_UP,fixed,9.99999999986498E-05,-0.0149229610290949,0.0309977696481494,-1.56161675868976,0,3.14159265358979,TDIP,0,0,0,,,,,,,,,,,,
TDIP_CAMERA,2.67746700514139E-05,0.00308600031105588,-0.015149638759378,0,0,0,0.000865724954084929,1.23823602198179E-08,-1.73114349782112E-23,-6.53809894412915E-24,4.23357916729271E-08,4.32469630376934E-09,4.62079016284059E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TDIP_CAMERA.STL,,TDIP-1/拇指摄像头-改走线-1,TDIP_CAMERA,Axis_TD_C,TD_C,fixed,9.99999999999786E-05,-0.00924715447690669,0.0536817472701889,-1.03801798309146,0,3.14159265358979,TDIP,0,0,0,,,,,,,,,,,,
TPIP_TACTILE,-4.16333634234434E-17,0,-0.00249999999999996,0,0,0,0.00146,4.95483333333334E-08,-1.74611599052448E-23,-1.23769251214719E-24,2.92900000000001E-08,-1.95753474835529E-24,7.27550000000001E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/TPIP_TACTILE.STL,,TPIP-1/tactile-1,TPIP_TACTILE,Axis_TP_T,TP_T,fixed,0,-0.0150000000000002,0.00744999999999996,-1.5707963267949,0,3.14159265358979,TPIP,0,0,0,,,,,,,,,,,,
IMCPF,-0.0430843214631875,0.00431834370601154,-0.0307718182610953,0,0,0,0.871654867959218,0.00641620487977667,8.78054224341667E-05,0.00037728602263421,0.00892182190148506,0.000220747041047436,0.00283958693017268,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/IMCPF.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_6/meshes/IMCPF.STL,,IMCPF-4,IMCPF,IF,IF,revolute,0.0620000004768365,-0.00750000143051144,0.129999986648559,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
